model-1609274090,1609274090.807, 0.51, 0.25, 0.41, 0.2594
model-1609274090,1609274091.086, 0.56, 0.246, 0.69, 0.2151
model-1609274090,1609274091.364, 0.5, 0.271, 0.53, 0.2484
model-1609274090,1609274091.647, 0.5, 0.2521, 0.59, 0.2485
model-1609274090,1609274091.914, 0.39, 0.2514, 0.44, 0.2555
model-1609274090,1609274092.203, 0.46, 0.2524, 0.47, 0.2525
model-1609274090,1609274092.471, 0.5, 0.2509, 0.66, 0.2464
model-1609274090,1609274092.736, 0.54, 0.2492, 0.56, 0.2484
model-1609274090,1609274093.011, 0.5, 0.25, 0.44, 0.2514
model-1609274090,1609274093.293, 0.42, 0.2517, 0.56, 0.2491
model-1609274090,1609274093.561, 0.52, 0.2496, 0.69, 0.2485
model-1609274090,1609274093.837, 0.56, 0.2493, 0.38, 0.2505
model-1609274090,1609274094.12, 0.55, 0.2493, 0.41, 0.2508
model-1609274090,1609274094.393, 0.44, 0.2502, 0.66, 0.2478
model-1609274090,1609274094.671, 0.48, 0.2497, 0.47, 0.2495
model-1609274090,1609274094.951, 0.53, 0.249, 0.66, 0.2481
model-1609274090,1609274095.227, 0.46, 0.2503, 0.66, 0.2478
model-1609274090,1609274095.503, 0.57, 0.2486, 0.53, 0.2492
model-1609274090,1609274095.78, 0.58, 0.2474, 0.56, 0.2471
model-1609274090,1609274096.059, 0.47, 0.2508, 0.5, 0.2493
model-1609274090,1609274096.344, 0.48, 0.2516, 0.47, 0.2499
model-1609274090,1609274096.625, 0.5, 0.2492, 0.53, 0.2509
model-1609274090,1609274096.912, 0.52, 0.2481, 0.47, 0.252
model-1609274090,1609274097.189, 0.61, 0.2475, 0.62, 0.2428
model-1609274090,1609274097.477, 0.55, 0.2497, 0.59, 0.2465
model-1609274090,1609274097.753, 0.61, 0.2447, 0.34, 0.2534
model-1609274090,1609274098.03, 0.63, 0.2408, 0.44, 0.2524
model-1609274090,1609274098.319, 0.43, 0.2539, 0.53, 0.2476
model-1609274090,1609274098.591, 0.56, 0.2453, 0.56, 0.2483
model-1609274090,1609274098.86, 0.63, 0.2424, 0.53, 0.2522
model-1609274090,1609274099.143, 0.6, 0.2411, 0.41, 0.2748
model-1609274090,1609274099.425, 0.58, 0.2433, 0.44, 0.2644
model-1609274090,1609274099.697, 0.47, 0.2662, 0.66, 0.2238
model-1609274090,1609274099.98, 0.44, 0.2721, 0.59, 0.233
model-1609274090,1609274100.274, 0.52, 0.2474, 0.75, 0.2286
model-1609274090,1609274100.548, 0.53, 0.2438, 0.56, 0.2487
model-1609274090,1609274100.831, 0.68, 0.2342, 0.44, 0.2567
model-1609274090,1609274101.119, 0.63, 0.2363, 0.59, 0.235
model-1609274090,1609274101.398, 0.56, 0.2424, 0.66, 0.2295
model-1609274090,1609274101.681, 0.48, 0.2568, 0.53, 0.2513
model-1609274090,1609274101.938, 0.54, 0.2497, 0.53, 0.2442
model-1609274090,1609274102.213, 0.6, 0.2407, 0.53, 0.2484
model-1609274090,1609274102.496, 0.5, 0.2446, 0.72, 0.2265
model-1609274090,1609274102.767, 0.6, 0.2383, 0.69, 0.2423
model-1609274090,1609274103.044, 0.59, 0.2407, 0.62, 0.2558
model-1609274090,1609274103.324, 0.53, 0.2434, 0.62, 0.2433
model-1609274090,1609274103.605, 0.5, 0.2446, 0.69, 0.24
model-1609274090,1609274103.871, 0.64, 0.2385, 0.5, 0.2514
model-1609274090,1609274104.164, 0.53, 0.2598, 0.44, 0.2595
model-1609274090,1609274104.438, 0.52, 0.2466, 0.53, 0.2424
model-1609274090,1609274104.7, 0.53, 0.2528, 0.56, 0.2527
model-1609274090,1609274104.983, 0.56, 0.2521, 0.72, 0.2306
model-1609274090,1609274105.259, 0.59, 0.2496, 0.69, 0.2447
model-1609274090,1609274105.533, 0.56, 0.2426, 0.5, 0.2499
model-1609274090,1609274105.799, 0.65, 0.2386, 0.47, 0.2563
model-1609274090,1609274106.082, 0.55, 0.2462, 0.44, 0.2746
model-1609274090,1609274106.351, 0.53, 0.2528, 0.56, 0.2378
model-1609274090,1609274106.609, 0.61, 0.2262, 0.66, 0.2337
model-1609274090,1609274106.872, 0.58, 0.2458, 0.56, 0.2507
model-1609274090,1609274107.166, 0.67, 0.2317, 0.5, 0.2591
model-1609274090,1609274107.43, 0.62, 0.2394, 0.59, 0.25
model-1609274090,1609274107.704, 0.56, 0.2443, 0.47, 0.2519
model-1609274090,1609274107.983, 0.61, 0.2379, 0.66, 0.2335
model-1609274090,1609274108.27, 0.62, 0.2393, 0.69, 0.2216
model-1609274090,1609274108.526, 0.61, 0.2351, 0.66, 0.2283
model-1609274090,1609274108.801, 0.54, 0.2432, 0.56, 0.2494
model-1609274090,1609274109.071, 0.63, 0.2329, 0.59, 0.2386
model-1609274090,1609274109.35, 0.68, 0.2306, 0.56, 0.2463
model-1609274090,1609274109.625, 0.55, 0.2446, 0.5, 0.2395
model-1609274090,1609274109.906, 0.67, 0.2177, 0.47, 0.281
model-1609274090,1609274110.181, 0.59, 0.2341, 0.56, 0.2477
model-1609274090,1609274110.458, 0.61, 0.2297, 0.69, 0.2139
model-1609274090,1609274110.732, 0.64, 0.227, 0.66, 0.2426
model-1609274090,1609274111.008, 0.55, 0.2541, 0.53, 0.2768
model-1609274090,1609274111.296, 0.59, 0.2407, 0.62, 0.2156
model-1609274090,1609274111.577, 0.59, 0.2319, 0.56, 0.2425
model-1609274090,1609274111.856, 0.59, 0.23, 0.53, 0.2532
model-1609274090,1609274112.141, 0.43, 0.2798, 0.59, 0.254
model-1609274090,1609274112.418, 0.53, 0.249, 0.5, 0.2602
model-1609274090,1609274112.693, 0.57, 0.2287, 0.69, 0.2193
model-1609274090,1609274112.969, 0.66, 0.2338, 0.56, 0.2382
model-1609274090,1609274113.247, 0.65, 0.2318, 0.69, 0.2168
model-1609274090,1609274113.524, 0.66, 0.2327, 0.47, 0.2621
model-1609274090,1609274113.788, 0.57, 0.2449, 0.47, 0.2583
model-1609274090,1609274114.062, 0.68, 0.2353, 0.44, 0.2746
model-1609274090,1609274114.336, 0.64, 0.2316, 0.53, 0.2392
model-1609274090,1609274114.604, 0.63, 0.2231, 0.47, 0.2619
model-1609274090,1609274114.875, 0.61, 0.2319, 0.53, 0.2343
model-1609274090,1609274115.167, 0.61, 0.235, 0.72, 0.224
model-1609274090,1609274115.454, 0.56, 0.2418, 0.47, 0.2531
model-1609274090,1609274115.734, 0.66, 0.228, 0.47, 0.2485
model-1609274090,1609274116.021, 0.61, 0.233, 0.72, 0.231
model-1609274090,1609274116.307, 0.68, 0.2279, 0.81, 0.1995
model-1609274090,1609274116.578, 0.61, 0.2291, 0.69, 0.2281
model-1609274090,1609274116.849, 0.64, 0.2255, 0.62, 0.2514
model-1609274090,1609274117.111, 0.57, 0.2437, 0.53, 0.2225
model-1609274090,1609274117.378, 0.62, 0.2269, 0.66, 0.2252
model-1609274090,1609274117.662, 0.75, 0.2088, 0.66, 0.206
model-1609274090,1609274117.936, 0.72, 0.2076, 0.53, 0.2489
model-1609274090,1609274118.218, 0.51, 0.2585, 0.53, 0.2594
model-1609274090,1609274118.483, 0.53, 0.2501, 0.56, 0.2506
model-1609274090,1609274118.76, 0.66, 0.2172, 0.53, 0.2387
model-1609274090,1609274119.054, 0.63, 0.234, 0.72, 0.1838
model-1609274090,1609274119.347, 0.67, 0.2187, 0.53, 0.2548
model-1609274090,1609274119.618, 0.62, 0.2323, 0.69, 0.1954
model-1609274090,1609274119.894, 0.55, 0.2476, 0.5, 0.2781
model-1609274090,1609274120.179, 0.65, 0.2182, 0.69, 0.2337
model-1609274090,1609274120.453, 0.61, 0.2289, 0.62, 0.2479
model-1609274090,1609274120.735, 0.69, 0.206, 0.62, 0.2008
model-1609274090,1609274121.013, 0.54, 0.2642, 0.59, 0.2546
model-1609274090,1609274121.293, 0.56, 0.2443, 0.66, 0.24
model-1609274090,1609274121.572, 0.66, 0.2309, 0.72, 0.1933
model-1609274090,1609274121.836, 0.52, 0.2457, 0.59, 0.2407
model-1609274090,1609274122.114, 0.63, 0.2295, 0.66, 0.228
model-1609274090,1609274122.39, 0.6, 0.2286, 0.59, 0.2421
model-1609274090,1609274122.65, 0.64, 0.2222, 0.66, 0.2274
model-1609274090,1609274122.918, 0.62, 0.221, 0.62, 0.2318
model-1609274090,1609274123.186, 0.58, 0.2341, 0.56, 0.2363
model-1609274090,1609274123.447, 0.64, 0.2339, 0.66, 0.2171
model-1609274090,1609274123.725, 0.59, 0.2352, 0.44, 0.2679
model-1609274090,1609274123.999, 0.61, 0.2291, 0.78, 0.195
model-1609274090,1609274124.29, 0.61, 0.2489, 0.59, 0.2452
model-1609274090,1609274124.572, 0.62, 0.2262, 0.53, 0.2501
model-1609274090,1609274124.833, 0.57, 0.2484, 0.62, 0.2266
model-1609274090,1609274125.102, 0.65, 0.2323, 0.5, 0.2648
model-1609274090,1609274125.388, 0.5, 0.2449, 0.69, 0.2208
model-1609274090,1609274125.66, 0.64, 0.2247, 0.56, 0.2382
model-1609274090,1609274125.928, 0.69, 0.2244, 0.62, 0.2365
model-1609274090,1609274126.214, 0.55, 0.2388, 0.69, 0.2087
model-1609274090,1609274126.491, 0.6, 0.2319, 0.5, 0.2376
model-1609274090,1609274126.762, 0.63, 0.2349, 0.56, 0.244
model-1609274090,1609274127.048, 0.69, 0.215, 0.56, 0.2403
model-1609274090,1609274127.332, 0.67, 0.2127, 0.62, 0.2214
model-1609274090,1609274127.61, 0.64, 0.2326, 0.78, 0.2186
model-1609274090,1609274127.886, 0.67, 0.2181, 0.62, 0.2247
model-1609274090,1609274128.154, 0.66, 0.2067, 0.66, 0.2284
model-1609274090,1609274128.43, 0.64, 0.2263, 0.59, 0.2285
model-1609274090,1609274128.675, 0.61, 0.217, 0.62, 0.2218
model-1609274090,1609274128.955, 0.61, 0.2379, 0.53, 0.2235
model-1609274090,1609274129.237, 0.64, 0.2266, 0.69, 0.234
model-1609274090,1609274129.524, 0.65, 0.2188, 0.59, 0.2384
model-1609274090,1609274129.802, 0.64, 0.2321, 0.62, 0.22
model-1609274090,1609274130.074, 0.62, 0.2264, 0.44, 0.2973
model-1609274090,1609274130.354, 0.59, 0.2469, 0.59, 0.2484
model-1609274090,1609274130.626, 0.6, 0.2336, 0.59, 0.2549
model-1609274090,1609274130.887, 0.67, 0.2193, 0.59, 0.2416
model-1609274090,1609274131.163, 0.61, 0.2279, 0.69, 0.202
model-1609274090,1609274131.442, 0.58, 0.2357, 0.5, 0.2564
model-1609274090,1609274131.718, 0.61, 0.2337, 0.56, 0.2186
model-1609274090,1609274132.004, 0.58, 0.2296, 0.59, 0.2139
model-1609274090,1609274132.287, 0.52, 0.2547, 0.59, 0.2494
model-1609274090,1609274132.559, 0.62, 0.2179, 0.66, 0.2354
model-1609274090,1609274132.853, 0.54, 0.2399, 0.56, 0.2305
model-1609274090,1609274133.153, 0.56, 0.2409, 0.56, 0.2451
model-1609274090,1609274133.442, 0.63, 0.2218, 0.66, 0.2339
model-1609274090,1609274133.732, 0.63, 0.2219, 0.62, 0.2237
model-1609274090,1609274134.028, 0.56, 0.2391, 0.62, 0.2266
model-1609274090,1609274134.316, 0.7, 0.2113, 0.56, 0.2425
model-1609274090,1609274134.604, 0.64, 0.2369, 0.66, 0.2195
model-1609274090,1609274134.883, 0.61, 0.226, 0.66, 0.2179
model-1609274090,1609274135.158, 0.63, 0.2355, 0.75, 0.1969
model-1609274090,1609274135.432, 0.66, 0.2276, 0.53, 0.2416
model-1609274090,1609274135.71, 0.56, 0.2289, 0.53, 0.243
model-1609274090,1609274135.989, 0.62, 0.231, 0.62, 0.2153
model-1609274090,1609274136.277, 0.66, 0.2184, 0.56, 0.2692
model-1609274090,1609274136.549, 0.68, 0.2216, 0.62, 0.2361
model-1609274090,1609274136.819, 0.69, 0.1994, 0.75, 0.2027
model-1609274090,1609274137.094, 0.62, 0.2264, 0.75, 0.2076
model-1609274090,1609274137.376, 0.64, 0.2306, 0.62, 0.2425
model-1609274090,1609274137.649, 0.68, 0.2106, 0.62, 0.2583
model-1609274090,1609274137.921, 0.73, 0.2126, 0.75, 0.1999
model-1609274090,1609274138.196, 0.58, 0.2244, 0.56, 0.243
model-1609274090,1609274138.459, 0.6, 0.2321, 0.59, 0.23
model-1609274090,1609274138.728, 0.54, 0.2507, 0.66, 0.2022
model-1609274090,1609274139.008, 0.75, 0.1894, 0.62, 0.2388
model-1609274090,1609274139.293, 0.66, 0.2358, 0.66, 0.2101
model-1609274090,1609274139.572, 0.68, 0.2175, 0.72, 0.2185
model-1609274090,1609274139.853, 0.59, 0.2391, 0.72, 0.2146
model-1609274090,1609274140.124, 0.63, 0.2307, 0.72, 0.1632
model-1609274090,1609274140.4, 0.55, 0.2375, 0.5, 0.2666
model-1609274090,1609274140.688, 0.68, 0.2014, 0.69, 0.2164
model-1609274090,1609274140.97, 0.63, 0.2289, 0.84, 0.1677
model-1609274090,1609274141.257, 0.68, 0.2202, 0.53, 0.2493
model-1609274090,1609274141.531, 0.65, 0.2226, 0.59, 0.2265
model-1609274090,1609274141.796, 0.6, 0.2381, 0.47, 0.2748
model-1609274090,1609274142.068, 0.57, 0.2407, 0.72, 0.2012
model-1609274090,1609274142.354, 0.66, 0.2172, 0.53, 0.2544
model-1609274090,1609274142.598, 0.54, 0.2597, 0.78, 0.1637
model-1609274090,1609274142.876, 0.55, 0.2396, 0.53, 0.225
model-1609274090,1609274143.167, 0.62, 0.2276, 0.81, 0.1796
model-1609274090,1609274143.444, 0.67, 0.2111, 0.69, 0.1957
model-1609274090,1609274143.714, 0.61, 0.2272, 0.72, 0.1836
model-1609274090,1609274143.983, 0.51, 0.2628, 0.59, 0.2298
model-1609274090,1609274144.265, 0.67, 0.2097, 0.5, 0.2682
model-1609274090,1609274144.54, 0.67, 0.2216, 0.59, 0.2193
model-1609274090,1609274144.826, 0.6, 0.2302, 0.69, 0.2133
model-1609274090,1609274145.098, 0.7, 0.2092, 0.5, 0.2372
model-1609274090,1609274145.364, 0.58, 0.2256, 0.44, 0.2471
model-1609274090,1609274145.632, 0.62, 0.2213, 0.75, 0.2265
model-1609274090,1609274145.907, 0.65, 0.2178, 0.56, 0.2314
model-1609274090,1609274146.189, 0.63, 0.216, 0.69, 0.2191
model-1609274090,1609274146.472, 0.61, 0.2273, 0.62, 0.2467
model-1609274090,1609274146.736, 0.6, 0.2248, 0.5, 0.2669
model-1609274090,1609274147.015, 0.61, 0.2247, 0.59, 0.2129
model-1609274090,1609274147.293, 0.58, 0.2375, 0.53, 0.234
model-1609274090,1609274147.571, 0.68, 0.2147, 0.62, 0.2501
model-1609274090,1609274147.837, 0.63, 0.2221, 0.66, 0.2154
model-1609274090,1609274148.118, 0.68, 0.2166, 0.62, 0.2361
model-1609274090,1609274148.382, 0.61, 0.2225, 0.62, 0.2331
model-1609274090,1609274148.664, 0.66, 0.2098, 0.59, 0.2335
model-1609274090,1609274148.948, 0.63, 0.2144, 0.66, 0.2174
model-1609274090,1609274149.248, 0.63, 0.2226, 0.66, 0.1947
model-1609274090,1609274149.531, 0.59, 0.232, 0.62, 0.2038
model-1609274090,1609274149.805, 0.62, 0.2152, 0.62, 0.2538
model-1609274090,1609274150.053, 0.58, 0.2524, 0.66, 0.2224
model-1609274090,1609274150.326, 0.66, 0.2172, 0.69, 0.1967
model-1609274090,1609274150.604, 0.65, 0.227, 0.72, 0.181
model-1609274090,1609274150.886, 0.52, 0.263, 0.69, 0.2132
model-1609274090,1609274151.181, 0.61, 0.2292, 0.66, 0.193
model-1609274090,1609274151.474, 0.66, 0.208, 0.62, 0.2346
model-1609274090,1609274151.761, 0.6, 0.231, 0.66, 0.2133
model-1609274090,1609274152.048, 0.7, 0.2108, 0.66, 0.201
model-1609274090,1609274152.327, 0.58, 0.2391, 0.62, 0.2139
model-1609274090,1609274152.605, 0.66, 0.2244, 0.56, 0.2275
model-1609274090,1609274152.782, 0.54, 0.252, 0.62, 0.2442
model-1609274090,1609274153.066, 0.64, 0.2188, 0.59, 0.2372
model-1609274090,1609274153.347, 0.63, 0.22, 0.72, 0.2179
model-1609274090,1609274153.63, 0.7, 0.2128, 0.56, 0.2255
model-1609274090,1609274153.899, 0.58, 0.233, 0.59, 0.255
model-1609274090,1609274154.182, 0.63, 0.2362, 0.62, 0.2216
model-1609274090,1609274154.463, 0.67, 0.2099, 0.44, 0.248
model-1609274090,1609274154.721, 0.67, 0.2173, 0.72, 0.2001
model-1609274090,1609274155.0, 0.62, 0.2296, 0.53, 0.2483
model-1609274090,1609274155.297, 0.63, 0.2191, 0.69, 0.1984
model-1609274090,1609274155.575, 0.66, 0.2131, 0.62, 0.2317
model-1609274090,1609274155.849, 0.6, 0.2258, 0.62, 0.2179
model-1609274090,1609274156.132, 0.71, 0.2034, 0.66, 0.223
model-1609274090,1609274156.406, 0.66, 0.2187, 0.66, 0.2026
model-1609274090,1609274156.67, 0.66, 0.2136, 0.56, 0.2512
model-1609274090,1609274156.947, 0.68, 0.211, 0.75, 0.1841
model-1609274090,1609274157.23, 0.69, 0.2039, 0.69, 0.21
model-1609274090,1609274157.504, 0.65, 0.2176, 0.69, 0.217
model-1609274090,1609274157.781, 0.64, 0.2288, 0.59, 0.2127
model-1609274090,1609274158.055, 0.62, 0.2239, 0.62, 0.2072
model-1609274090,1609274158.336, 0.63, 0.2323, 0.66, 0.1832
model-1609274090,1609274158.603, 0.63, 0.2355, 0.62, 0.2287
model-1609274090,1609274158.884, 0.72, 0.2029, 0.72, 0.2176
model-1609274090,1609274159.169, 0.61, 0.2446, 0.62, 0.2392
model-1609274090,1609274159.447, 0.59, 0.2274, 0.59, 0.2367
model-1609274090,1609274159.723, 0.59, 0.2346, 0.75, 0.1919
model-1609274090,1609274160.006, 0.58, 0.2261, 0.59, 0.2464
model-1609274090,1609274160.277, 0.7, 0.1978, 0.69, 0.2104
model-1609274090,1609274160.536, 0.55, 0.2431, 0.66, 0.2108
model-1609274090,1609274160.817, 0.62, 0.2377, 0.59, 0.2239
model-1609274090,1609274161.088, 0.64, 0.2222, 0.56, 0.25
